plant_name_raw|capacity_mw_raw|fuel_raw|owner_raw|commissioning_raw
Katakhali 50 MW Peaking Power Plant|50|HFO|BPDB|December, 2012
Chandpur 150 MW CC Power Plant|163|Gas|BPDB|December, 2012
Raujan 25 MW PP|25|Gas/HFO|RPCL|3 May, 2013
Khulna 150 MW GT|150|Gas/HSD|NWPGCL|23 September, 2013
Haripur 360 MW CCPP|412|Gas|EGCB|December, 2013
Regional Import|500|Import|Import|5 October, 2013
Ashuganj 51 MW PP|51|Gas|IPP|6 December, 2013
Shajanullah Power Company|25|Gas|IPP|December, 2013
Sirajganj 150 MW PP Conversion|68|Gas/HSD|NWPGCL|14 July, 2014
Natore, Rajshahi 50 MW PP|52|HFO|IPP|UNPARSED
Baraka-Patenga Chattogram 50 MW PP|50|HFO|IPP|24 January, 2014
Meghnaghat 300-450 MW CCPP (2nd Unit Dual Fuel: SC GT Unit)|203|HFO/Gas|IPP|03 May, 2014
Gogonnagar 100 MW PP|102|HFO|IPP|29 May, 2014
Ghorashal, Narsindi 100 MW PP|108|Gas|IPP|03 June, 2014
Cumilla (Jangalia) 50 MW PP|52|HFO|IPP|15 July, 2014
Ashuganj 225 MW CCPP : SC GT Unit|142|Gas|APSCL|27 April, 2015
Kodda, Gazipur 150 MW Power Plant|149|HFO/Gas|BPDB- RPCL JV|16 August, 2015
Bhola 225 MW CCPP|194|Gas|BPDB|2 September, 2015
Ashuganj 225 CCPP: ST Unit|75|Gas|APSCL|10 December, 2015
Potiya, Chattogram 108 MW Power Plant|108|HFO|IPP|14 January, 2015
Kathpotti, Munshigonj 50 MW Power Plant|51|HFO|IPP|20 February, 2015
Ashuganj 195 MW Modular PP|195|Gas|IPP|8 May, 2015
Meghnaghat 335 MW CCPP (2nd Unit) : ST Unit|102|Gas/HSD|IPP|1 June, 2015
Bibiyana-(II) 341 MW CCPP (Summit): GT Unit|222|Gas|IPP|6 June, 2015
Bibiyana-(II) 341 MW CCPP (Summit): ST Unit|119|Gas|IPP|26 December, 2015
Up gradation of Khulna 150 MW to 225 MW|72|Gas/HSD|NWPGCL|28 June, 2016
Ashuganj (South) 450 MW CCPP|373|Gas|APSCL|22 July, 2016
Shahjibazar CCPP|330|Gas|BPDB|GT: 20 August, 2016; ST: 20 December, 2016
Madangonj 55 MW Peaking Plant (Summit Power)|55|FO|IPP|29 February, 2016
Barishal 110 MW PP (Summit Power)|110|FO|IPP|5 April, 2016
Nababganj 55 MW PP|55|FO|IPP|17 Jun, 2016
Manikganj 55 MW PP|55|FO|IPP|17 August, 2016
Jamalpur 95 MW PP|95|Gas/FO|IPP|29 November, 2016
Bheramara 360 MW CCPP|278|Gas/HSD|NWPGCL|GT: 9 May, 2017
Ashuganj 450 MW CCPP (South)|360|Gas|APSCL|11 June, 2017
Chapainawabganj 100 MW PP|104|HFO|BPDB|12 August, 2017
Shikalbaha 225 MW CCPP|225|Gas/HSD|BPDB|8 November, 2017
Bosila, Keraniganj 108 MW PP|108|HFO|IPP|22 February, 2017
Kushiara 163 MW CCPP|109|Gas|IPP|25 July, 2017
Shorishabari Solar plant|3|Solar|IPP|03 August, 2017
Kamalaghat 50 MW PP|54|HFO|IPP|1 January, 2018
Noapara 100 MW PP (Bangla Track)|100|HSD|IPP|18 April, 2018
Kusiara 163 MW CCPP|54|Gas|IPP|27 April, 2018
DaudKandi 200 MW PP|200|HSD|IPP|27 April, 2018
Kodda, Gazipur 300 MW PP (Summit)|300|HFO|IPP|10 May, 2018
