producer_key,producer,purchase_class,fy,kwh,bdt,audited_column,source_doc
amnura(sinha power generation),Amnura(Sinha Power Generation),rental,FY2022-23,18118836.0,380076109.0,Y,BPDB 2022-23.pdf
amnura(sinha power generation),Amnura(Sinha Power Generation),rental,FY2023-24,59930035.0,797484319.0,Y,BPDC 2023-24.pdf
amnura(sinha power generation),Amnura(Sinha Power Generation),rental,FY2024-25,0.0,0.0,Y,BPDB 2024-25.pdf
anlima energy ltd (116mw),Anlima Energy Limited (116MW),ipp,FY2021-22,755550326.0,11468258410.0,,BPDB 2022-23.pdf
anlima energy ltd (116mw),Anlima Energy Limited (116MW),ipp,FY2022-23,713222138.0,12383457318.0,Y,BPDB 2022-23.pdf
anlima energy ltd (116mw),Anlima Energy Limited (116MW),ipp,FY2023-24,199088723.0,5464422190.0,Y,BPDC 2023-24.pdf
anlima energy ltd (116mw),Anlima Energy Limited (116MW),ipp,FY2024-25,135833801.0,4954899408.0,Y,BPDB 2024-25.pdf
apr energy 300mw,APR Energy 300MW,ipp,FY2021-22,259472196.0,10835439637.0,,BPDB 2022-23.pdf
apr energy 300mw,APR Energy 300MW,ipp,FY2022-23,471396498.0,19801984728.0,Y,BPDB 2022-23.pdf
apr energy 300mw,APR Energy 300MW,ipp,FY2023-24,43968055.0,2008871669.0,Y,BPDC 2023-24.pdf
apr energy 300mw,APR Energy 300MW,ipp,FY2024-25,0.0,0.0,Y,BPDB 2024-25.pdf
apscl (225 mw),APSCL (225 MW),public,FY2019-20,1480504353.0,5104811743.0,,BPDB 2020-21.pdf
apscl (225 mw),APSCL (225 MW),public,FY2020-21,1574330675.0,5139666301.0,Y,BPDB 2020-21.pdf
apscl (225 mw),APSCL (225 MW),public,FY2021-22,1579703499.0,5245040830.0,,BPDB 2022-23.pdf
apscl (225 mw),APSCL (225 MW),public,FY2022-23,1587315617.0,7466980186.0,Y,BPDB 2022-23.pdf
apscl (225 mw),APSCL (225 MW),public,FY2023-24,1381974892.0,9042636144.0,Y,BPDC 2023-24.pdf
apscl (225 mw),APSCL (225 MW),public,FY2024-25,1689428667.0,10439740648.0,Y,BPDB 2024-25.pdf
apscl (400 mw) east,APSCL (400 MW) East,public,FY2023-24,2002935049.0,10486288898.0,,BPDB 2024-25.pdf
apscl (400 mw) east,APSCL (400 MW) East,public,FY2024-25,901772800.0,7386643402.0,Y,BPDB 2024-25.pdf
"apscl (400 mw) east 1,178,943,416 4,849,965,131","APSCL (400 MW) East 1,178,943,416 4,849,965,131",public,FY2021-22,0.0,0.0,,BPDB 2022-23.pdf
"apscl (400 mw) east 1,178,943,416 4,849,965,131","APSCL (400 MW) East 1,178,943,416 4,849,965,131",public,FY2022-23,0.0,0.0,Y,BPDB 2022-23.pdf
apscl (450 mw) east,APSCL (450 MW) East,public,FY2022-23,1178943416.0,4849965132.0,,BPDC 2023-24.pdf
apscl (450 mw) east,APSCL (450 MW) East,public,FY2023-24,2002935049.0,10486288898.0,Y,BPDC 2023-24.pdf
apscl (450 mw) north,APSCL (450 MW) North,public,FY2019-20,2458470544.0,6666202866.0,,BPDB 2020-21.pdf
apscl (450 mw) north,APSCL (450 MW) North,public,FY2020-21,2088923729.0,5900126978.0,Y,BPDB 2020-21.pdf
apscl (450 mw) north,APSCL (450 MW) North,public,FY2021-22,2017615091.0,5960985814.0,,BPDB 2022-23.pdf
apscl (450 mw) north,APSCL (450 MW) North,public,FY2022-23,2196407090.0,9188887471.0,Y,BPDB 2022-23.pdf
apscl (450 mw) north,APSCL (450 MW) North,public,FY2023-24,2050896272.0,11384626089.0,Y,BPDC 2023-24.pdf
apscl (450 mw) north,APSCL (450 MW) North,public,FY2024-25,2090377818.0,11689196228.0,Y,BPDB 2024-25.pdf
apscl (450 mw) south,APSCL (450 MW) South,public,FY2019-20,2350523007.0,8671643247.0,,BPDB 2020-21.pdf
apscl (450 mw) south,APSCL (450 MW) South,public,FY2020-21,1955572989.0,7571323434.0,Y,BPDB 2020-21.pdf
apscl (450 mw) south,APSCL (450 MW) South,public,FY2021-22,2135112449.0,8036514579.0,,BPDB 2022-23.pdf
apscl (450 mw) south,APSCL (450 MW) South,public,FY2022-23,1679751824.0,9981002544.0,Y,BPDB 2022-23.pdf
apscl (450 mw) south,APSCL (450 MW) South,public,FY2023-24,1963818821.0,13894762854.0,Y,BPDC 2023-24.pdf
apscl (450 mw) south,APSCL (450 MW) South,public,FY2024-25,1335049331.0,8940644917.0,Y,BPDB 2024-25.pdf
apscl (except new 573 mw),APSCL (Except New 573 MW),public,FY2019-20,871733180.0,3992507875.0,,BPDB 2020-21.pdf
apscl (except new 573 mw),APSCL (Except New 573 MW),public,FY2020-21,711938656.0,3725662841.0,Y,BPDB 2020-21.pdf
apscl (except new 573 mw),APSCL (Except New 573 MW),public,FY2023-24,0.0,0.0,,BPDB 2024-25.pdf
apscl (except new 573 mw),APSCL (Except New 573 MW),public,FY2024-25,0.0,0.0,Y,BPDB 2024-25.pdf
apscl (new 50 mw),APSCL (New 50 MW),public,FY2019-20,244146276.0,533228573.0,,BPDB 2020-21.pdf
apscl (new 50 mw),APSCL (New 50 MW),public,FY2020-21,184795542.0,439275908.0,Y,BPDB 2020-21.pdf
apscl (new 50 mw),APSCL (New 50 MW),public,FY2021-22,194969682.0,417729941.0,,BPDB 2022-23.pdf
apscl (new 50 mw),APSCL (New 50 MW),public,FY2022-23,283700898.0,950285214.0,Y,BPDB 2022-23.pdf
apscl (new 50 mw),APSCL (New 50 MW),public,FY2023-24,225465822.0,1146309599.0,Y,BPDC 2023-24.pdf
apscl (new 50 mw),APSCL (New 50 MW),public,FY2024-25,283243580.0,1506826870.0,Y,BPDB 2024-25.pdf
b-r powergen ltd (mirersarai),B-R Powergen Ltd. (Mirersarai),ipp,FY2022-23,84325132.0,1444470473.0,,BPDC 2023-24.pdf
b-r powergen ltd (mirersarai),B-R Powergen Ltd. (Mirersarai),ipp,FY2023-24,236491855.0,5713480196.0,Y,BPDC 2023-24.pdf
b-r powergen ltd (mirersarai),B-R Powergen Ltd. (Mirersarai),ipp,FY2024-25,128221905.0,3956005000.0,Y,BPDB 2024-25.pdf
b-r powergen ltd (sreepur)(160mw),B-R Powergen Ltd. (Sreepur)(160MW),ipp,FY2023-24,0.0,0.0,,BPDB 2024-25.pdf
b-r powergen ltd (sreepur)(160mw),B-R Powergen Ltd. (Sreepur)(160MW),ipp,FY2024-25,238730280.0,5425026950.0,Y,BPDB 2024-25.pdf
b-r powergen ltd(brpl),B-R Powergen Ltd.(BRPL),ipp,FY2021-22,480557237.0,9535028277.0,,BPDB 2022-23.pdf
b-r powergen ltd(brpl),B-R Powergen Ltd.(BRPL),ipp,FY2022-23,426410813.0,10857191501.0,Y,BPDB 2022-23.pdf
banco energy generation ltd,Banco Energy Generation Ltd.,ipp,FY2021-22,376975008.0,5969027473.0,,BPDB 2022-23.pdf
banco energy generation ltd,Banco Energy Generation Ltd.,ipp,FY2022-23,157741560.0,3420808059.0,Y,BPDB 2022-23.pdf
banco energy generation ltd,Banco Energy Generation Ltd.,ipp,FY2023-24,92280024.0,2745703155.0,Y,BPDC 2023-24.pdf
banco energy generation ltd,Banco Energy Generation Ltd.,ipp,FY2024-25,130769928.0,3727437389.0,Y,BPDB 2024-25.pdf
bangla track power company ltd,Bangla Track Power Company Ltd.,ipp,FY2021-22,159163968.0,6736713233.0,,BPDB 2022-23.pdf
bangla track power company ltd,Bangla Track Power Company Ltd.,ipp,FY2022-23,219334080.0,9285172468.0,Y,BPDB 2022-23.pdf
bangla track power company ltd,Bangla Track Power Company Ltd.,ipp,FY2023-24,0.0,0.0,Y,BPDC 2023-24.pdf
bangla track power company ltd,Bangla Track Power Company Ltd.,ipp,FY2024-25,0.0,3333334.0,Y,BPDB 2024-25.pdf
bangla track power company ltd (unit-2),Bangla Track Power Company Ltd. (Unit-2),ipp,FY2019-20,78702240.0,3093031604.0,,BPDB 2020-21.pdf
bangla track power company ltd (unit-2),Bangla Track Power Company Ltd. (Unit-2),ipp,FY2020-21,122851008.0,3855255637.0,Y,BPDB 2020-21.pdf
bangla track power company ltd (unit-2),Bangla Track Power Company Ltd. (Unit-2),ipp,FY2021-22,102068064.0,3703225481.0,,BPDB 2022-23.pdf
bangla track power company ltd (unit-2),Bangla Track Power Company Ltd. (Unit-2),ipp,FY2022-23,85970400.0,4189929615.0,Y,BPDB 2022-23.pdf
bangla track power company ltd (unit-2),Bangla Track Power Company Ltd. (Unit-2),ipp,FY2023-24,0.0,0.0,Y,BPDC 2023-24.pdf
bangla track power company ltd (unit-2),Bangla Track Power Company Ltd. (Unit-2),ipp,FY2024-25,0.0,1475986.0,Y,BPDB 2024-25.pdf
bangladesh -china power company ltd 1320mw,Bangladsh -China Power Company (Pvt.) Ltd. 1320MW,ipp,FY2019-20,831938472.0,5215734878.0,,BPDB 2020-21.pdf
bangladesh -china power company ltd 1320mw,Bangladsh -China Power Company (Pvt.) Ltd. 1320MW,ipp,FY2020-21,3811921991.0,32764848584.0,Y,BPDB 2020-21.pdf
bangladesh -china power company ltd 1320mw,Bangladsh -China Power Company (Pvt.) Ltd. 1320MW,ipp,FY2022-23,6900361855.0,110538940965.0,,BPDC 2023-24.pdf
bangladesh -china power company ltd 1320mw,Bangladsh -China Power Company (Pvt.) Ltd. 1320MW,ipp,FY2023-24,7548736927.0,89317338419.0,Y,BPDC 2023-24.pdf
bangladesh -china power company ltd 1320mw,Bangladsh -China Power Company (Pvt.) Ltd. 1320MW,ipp,FY2024-25,7936894988.0,115709855539.0,Y,BPDB 2024-25.pdf
bangladesh china renewable energy company ltd,Bangladesh China Renewable Energy company Ltd,ipp,FY2023-24,0.0,0.0,,BPDB 2024-25.pdf
bangladesh china renewable energy company ltd,Bangladesh China Renewable Energy company Ltd,ipp,FY2024-25,104833998.0,1295579088.0,Y,BPDB 2024-25.pdf
