plant_id,plant_name,location,capacity_mw,fuel,fuel_raw,ownership_class,owning_entity,sponsor,commissioning_date,date_precision,commissioning_note,source_doc
bd-khulna-150-mw-gt-2013,Khulna 150 MW GT,Khulna,150.0,gas_hsd_dual,Gas/HSD,public,NWPGCL,,2013-09-23,day,,bpdb_ar2019_20_commissioning
bd-haripur-360-mw-ccpp-2013,Haripur 360 MW CCPP,Haripur,412.0,gas,Gas,public,EGCB,,2013-12-01,month,,bpdb_ar2019_20_commissioning
bd-regional-import-2013,Regional Import,Regional,500.0,import,Import,import,BPDB,,2013-10-05,day,,bpdb_ar2019_20_commissioning
bd-ashuganj-51-mw-pp-2013,Ashuganj 51 MW PP,Ashuganj,51.0,gas,Gas,ipp,,,2013-12-06,day,,bpdb_ar2019_20_commissioning
bd-shajanullah-power-company-2013,Shajanullah Power Company,Shajanullah,25.0,gas,Gas,ipp,,,2013-12-01,month,,bpdb_ar2019_20_commissioning
bd-sirajganj-150-mw-pp-conversion-2014,Sirajganj 150 MW PP Conversion,Sirajganj,68.0,gas_hsd_dual,Gas/HSD,public,NWPGCL,,2014-07-14,day,,bpdb_ar2019_20_commissioning
bd-natore-rajshahi-50-mw-pp-na,"Natore, Rajshahi 50 MW PP",Natore,52.0,hfo,HFO,ipp,,,,none,UNPARSED,bpdb_ar2019_20_commissioning
bd-baraka-patenga-chattogram-50-mw-pp-2014,Baraka-Patenga Chattogram 50 MW PP,Baraka-Patenga,50.0,hfo,HFO,ipp,,,2014-01-24,day,,bpdb_ar2019_20_commissioning
bd-meghnaghat-300-450-mw-ccpp-2nd-unit-dual-fuel-sc-2014,Meghnaghat 300-450 MW CCPP (2nd Unit Dual Fuel: SC GT Unit),Meghnaghat,203.0,gas_hfo_dual,HFO/Gas,ipp,,,2014-05-03,day,,bpdb_ar2019_20_commissioning
bd-gogonnagar-100-mw-pp-2014,Gogonnagar 100 MW PP,Gogonnagar,102.0,hfo,HFO,ipp,,,2014-05-29,day,,bpdb_ar2019_20_commissioning
bd-ghorashal-narsindi-100-mw-pp-2014,"Ghorashal, Narsindi 100 MW PP",Ghorashal,108.0,gas,Gas,ipp,,,2014-06-03,day,,bpdb_ar2019_20_commissioning
bd-cumilla-jangalia-50-mw-pp-2014,Cumilla (Jangalia) 50 MW PP,Cumilla,52.0,hfo,HFO,ipp,,,2014-07-15,day,,bpdb_ar2019_20_commissioning
bd-ashuganj-225-mw-ccpp-sc-gt-unit-2015,Ashuganj 225 MW CCPP : SC GT Unit,Ashuganj,142.0,gas,Gas,public,APSCL,,2015-04-27,day,,bpdb_ar2019_20_commissioning
bd-kodda-gazipur-150-mw-power-plant-2015,"Kodda, Gazipur 150 MW Power Plant",Kodda,149.0,gas_hfo_dual,HFO/Gas,jv,BPDB- RPCL,,2015-08-16,day,,bpdb_ar2019_20_commissioning
bd-bhola-225-mw-ccpp-2015,Bhola 225 MW CCPP,Bhola,194.0,gas,Gas,public,BPDB,,2015-09-02,day,,bpdb_ar2019_20_commissioning
bd-ashuganj-225-ccpp-st-unit-2015,Ashuganj 225 CCPP: ST Unit,Ashuganj,75.0,gas,Gas,public,APSCL,,2015-12-10,day,,bpdb_ar2019_20_commissioning
bd-potiya-chattogram-108-mw-power-plant-2015,"Potiya, Chattogram 108 MW Power Plant",Potiya,108.0,hfo,HFO,ipp,,,2015-01-14,day,,bpdb_ar2019_20_commissioning
bd-kathpotti-munshigonj-50-mw-power-plant-2015,"Kathpotti, Munshigonj 50 MW Power Plant",Kathpotti,51.0,hfo,HFO,ipp,,,2015-02-20,day,,bpdb_ar2019_20_commissioning
bd-ashuganj-195-mw-modular-pp-2015,Ashuganj 195 MW Modular PP,Ashuganj,195.0,gas,Gas,ipp,,,2015-05-08,day,,bpdb_ar2019_20_commissioning
