fy,producer,purchase_class,kwh_cy,kwh_py,bdt_cy,bdt_py,bdt_per_kwh_cy,zero_generation_payment,source_doc
FY2022-23,KEPZ 9.8 MW Solar,ipp,0.0,4013712.0,0.0,51897296.0,,,BPDB 2022-23.pdf
FY2022-23,Energon Renewables (BD) Limited 100MW - Mongla,ipp,185883843.0,95298710.0,2685850655.0,1154337981.0,14.4491,,BPDB 2022-23.pdf
FY2022-23,Summit Gazipur II Power Ltd. - Kodda (300MW),ipp,1137133799.0,1421077329.0,23076784882.0,24417833567.0,20.2938,,BPDB 2022-23.pdf
FY2022-23,Baraka Power Co. Ltd.,rental,243066276.0,349663734.0,1402047454.0,1120522242.0,5.7682,,BPDB 2022-23.pdf
FY2022-23,Shahjibazar Power Co. Ltd.,rental,477095952.0,619933776.0,2768043336.0,2194442394.0,5.8019,,BPDB 2022-23.pdf
FY2022-23,"Desh Cambridge, Kumergoan",rental,81129610.0,75345178.0,390162506.0,273009147.0,4.8091,,BPDB 2022-23.pdf
FY2022-23,"Energyprima, Fenchugonj",rental,245525607.0,48318547.0,1153905588.0,146415205.0,4.6997,,BPDB 2022-23.pdf
FY2022-23,"Energyprima, Kumargaon",rental,54471500.0,41095560.0,165805060.0,119125405.0,3.0439,,BPDB 2022-23.pdf
FY2022-23,"Venture Energy, Bhola",rental,179066743.0,189564498.0,1107705570.0,672491504.0,6.186,,BPDB 2022-23.pdf
FY2022-23,Summit Narayangonj Power Ltd.,rental,161573730.0,109319891.0,3275647932.0,2100228103.0,20.2734,,BPDB 2022-23.pdf
FY2022-23,Kpcl -Unit-2,rental,198457371.0,107420657.0,4019236677.0,2138624001.0,20.2524,,BPDB 2022-23.pdf
FY2022-23,Khanjahan Ali Power Ltd.,rental,51143413.0,29896435.0,1107315887.0,586325265.0,21.6512,,BPDB 2022-23.pdf
FY2022-23,Precision Energy Ltd.,rental,183934248.0,276586308.0,1163995995.0,1257886706.0,6.3283,,BPDB 2022-23.pdf
FY2022-23,Orion Power Meghnaghat Ltd.,rental,280180160.0,165454808.0,5405863283.0,3425588809.0,19.2942,,BPDB 2022-23.pdf
FY2022-23,Dutch Bangla Power & Associates Ltd.,rental,287343735.0,161026042.0,5571914427.0,3250631030.0,19.3911,,BPDB 2022-23.pdf
FY2022-23,Acron Infrastructure Service Ltd.,rental,243804336.0,222839580.0,5725552044.0,4110168523.0,23.4842,,BPDB 2022-23.pdf
FY2022-23,Amnura(Sinha Power Generation),rental,18118836.0,20839351.0,380076109.0,274117988.0,20.9769,,BPDB 2022-23.pdf
FY2022-23,Power Pac Mutiara Keranigonj,rental,7514208.0,91903200.0,154740873.0,2515217918.0,20.5931,,BPDB 2022-23.pdf
FY2022-23,Northern Power,rental,126846012.0,66336489.0,2773703045.0,1696707045.0,21.8667,,BPDB 2022-23.pdf
FY2022-23,Gbb Power Ltd.,rental,147841848.0,167469576.0,872758548.0,685508842.0,5.9033,,BPDB 2022-23.pdf
FY2022-23,APSCL (New 50 MW),public,283700898.0,194969682.0,950285214.0,417729941.0,3.3496,,BPDB 2022-23.pdf
FY2022-23,APSCL (225 MW),public,1587315617.0,1579703499.0,7466980186.0,5245040830.0,4.7042,,BPDB 2022-23.pdf
FY2022-23,APSCL (450 MW) South,public,1679751824.0,2135112449.0,9981002544.0,8036514579.0,5.942,,BPDB 2022-23.pdf
