fy,plant_name,sector,zone,fuel,fuel_raw,capacity_mw,generation_gwh,plant_factor,remark,retired,source_doc
FY2023-24,Sembcorp NWPGCL,IPP,RANGPUR ZONE,gas,GAS,414.0,2947.0,0.8126,,,BPDC 2023-24.pdf
FY2023-24,Summit Meghnaghat Power Co. Ltd.,IPP,RANGPUR ZONE,gas,GAS,335.0,1122.0,0.3823,,,BPDC 2023-24.pdf
FY2023-24,Nutan Biddyut 220MW Bhola,IPP,RANGPUR ZONE,gas,GAS,220.0,1746.0,0.906,,,BPDC 2023-24.pdf
FY2023-24,Unique Meghnaghat 584MW CCPP,IPP,RANGPUR ZONE,gas,GAS,584.0,761.0,0.1488,,,BPDC 2023-24.pdf
FY2023-24,Summit Power Meghnaghat-2 583 MW CCPP,IPP,RANGPUR ZONE,gas,GAS,583.0,654.0,0.1281,,,BPDC 2023-24.pdf
FY2023-24,Raj Lanka Power Gen.Com. Ltd.Nator 55 MW,IPP,RANGPUR ZONE,hfo,F.Oil,52.0,32.0,0.0702,,,BPDC 2023-24.pdf
FY2023-24,Digital Power & Associates Gagnagar,IPP,RANGPUR ZONE,hfo,F.Oil,102.0,225.0,0.2518,,,BPDC 2023-24.pdf
FY2023-24,Baraka Patenga,IPP,RANGPUR ZONE,hfo,F.Oil,50.0,81.0,0.1849,,,BPDC 2023-24.pdf
FY2023-24,ECPV Chattogram Limited 108 MW,IPP,RANGPUR ZONE,hfo,F.Oil,108.0,63.0,0.0666,,,BPDC 2023-24.pdf
FY2023-24,Lakdhanvi lanka- Bangla Jangalia Cumilla 52MW,IPP,RANGPUR ZONE,hfo,F.Oil,52.0,180.0,0.3952,,,BPDC 2023-24.pdf
FY2023-24,Sinha Peoples Energy Ltd.Katpatti 52.5 MW Exp,IPP,RANGPUR ZONE,hfo,F.Oil,51.0,0.91,0.002,Event of Default,,BPDC 2023-24.pdf
FY2023-24,Summit Barishal (110 MW),IPP,RANGPUR ZONE,hfo,F.Oil,110.0,149.0,0.1546,,,BPDC 2023-24.pdf
FY2023-24,Summit Narayangonj Power unit-2 Madangonj (55 MW),IPP,RANGPUR ZONE,hfo,F.Oil,55.0,145.0,0.301,,,BPDC 2023-24.pdf
FY2023-24,Dhaka(Doreen) Northern Power Ltd. Manikgonj,IPP,RANGPUR ZONE,hfo,F.Oil,55.0,111.0,0.2304,,,BPDC 2023-24.pdf
FY2023-24,Dhaka(Doreen) Southern Power Ltd. Nobabgonj,IPP,RANGPUR ZONE,hfo,F.Oil,55.0,103.0,0.2138,,,BPDC 2023-24.pdf
FY2023-24,Kamalaghat Banco Energy Generation,IPP,RANGPUR ZONE,hfo,F.Oil,54.0,92.0,0.1945,,,BPDC 2023-24.pdf
FY2023-24,Kodda Gazipur 300MW Power Ltd.(unit-2 Summit),IPP,RANGPUR ZONE,hfo,F.Oil,300.0,539.0,0.2051,,,BPDC 2023-24.pdf
FY2023-24,United Mymensing Power(UMPL) 200MW Generation,IPP,RANGPUR ZONE,hfo,F.Oil,200.0,449.0,0.2563,,,BPDC 2023-24.pdf
FY2023-24,Kodda Gazipur 149MW Power Ltd.(unit-1 Summit) ACE Alliance,IPP,RANGPUR ZONE,hfo,F.Oil,149.0,415.0,0.3179,,,BPDC 2023-24.pdf
FY2023-24,Lobonchora Orion Power Rupsha Ltd. 105 MW,IPP,RANGPUR ZONE,hfo,F.Oil,105.0,189.0,0.2055,,,BPDC 2023-24.pdf
FY2023-24,Desh Energy Chandpur 200 MW,IPP,RANGPUR ZONE,hfo,F.Oil,200.0,336.0,0.1918,,,BPDC 2023-24.pdf
FY2023-24,Juldha Acorn 100 MW Unit-3,IPP,RANGPUR ZONE,hfo,F.Oil,100.0,174.0,0.1986,,,BPDC 2023-24.pdf
FY2023-24,Ashugonj 150 MW (Midland East),IPP,RANGPUR ZONE,hfo,F.Oil,150.0,176.0,0.1339,,,BPDC 2023-24.pdf
FY2023-24,Chandpur Power Generation Lid. 115MW,IPP,RANGPUR ZONE,hfo,F.Oil,115.0,307.0,0.3047,,,BPDC 2023-24.pdf
FY2023-24,United Jamalpur PPL,IPP,RANGPUR ZONE,hfo,F.Oil,115.0,344.0,0.3415,,,BPDC 2023-24.pdf
FY2023-24,Confidence CPBL- 2 Bogura,IPP,RANGPUR ZONE,hfo,F.Oil,113.0,211.0,0.2132,,,BPDC 2023-24.pdf
FY2023-24,Baraka Shikalbaha 105MW PS,IPP,RANGPUR ZONE,hfo,F.Oil,105.0,200.0,0.2174,,,BPDC 2023-24.pdf
FY2023-24,United Anwara 300MW PS,IPP,RANGPUR ZONE,hfo,F.Oil,300.0,504.0,0.1918,,,BPDC 2023-24.pdf
FY2023-24,Confidence Power Ltd. 113MW Rangpur,IPP,RANGPUR ZONE,hfo,F.Oil,113.0,249.0,0.2515,,,BPDC 2023-24.pdf
FY2023-24,Potia Jodiac Power,IPP,RANGPUR ZONE,hfo,F.Oil,54.0,115.0,0.2431,,,BPDC 2023-24.pdf
FY2023-24,Shikolbaha Karnaphuli Power Ltd.,IPP,RANGPUR ZONE,hfo,F.Oil,110.0,276.0,0.2864,,,BPDC 2023-24.pdf
FY2023-24,Feni Lanka (Lakdanavi) Power 114 MW PP,IPP,RANGPUR ZONE,hfo,F.Oil,114.0,363.0,0.3635,,,BPDC 2023-24.pdf
FY2023-24,Bogra 113 MW PP (Confidence) Unit-1,IPP,RANGPUR ZONE,hfo,F.Oil,113.0,210.0,0.2121,,,BPDC 2023-24.pdf
FY2023-24,HF 113 MW Power Limited,IPP,RANGPUR ZONE,hfo,F.Oil,113.0,248.0,0.2505,,,BPDC 2023-24.pdf
FY2023-24,Julda 100 MW Unit - 2 (Acorn ),IPP,RANGPUR ZONE,hfo,F.Oil,100.0,177.0,0.2021,,,BPDC 2023-24.pdf
FY2023-24,Manikganj 162MW P0wer Generation,IPP,RANGPUR ZONE,hfo,F.Oil,162.0,283.0,0.1994,,,BPDC 2023-24.pdf
FY2023-24,Orion Power Sonargaon Ltd.,IPP,RANGPUR ZONE,hfo,F.Oil,104.0,235.0,0.2579,,,BPDC 2023-24.pdf
FY2023-24,Anlima Chattogram 116 MW,IPP,RANGPUR ZONE,hfo,F.Oil,116.0,199.0,0.1958,,,BPDC 2023-24.pdf
FY2023-24,Tangail Polly Power 22 MW TPPGCl,IPP,RANGPUR ZONE,hfo,F.Oil,22.0,58.0,0.301,,,BPDC 2023-24.pdf
FY2023-24,Bhairab Power 54.5 MW,IPP,RANGPUR ZONE,hfo,F.Oil,54.0,134.0,0.2833,,,BPDC 2023-24.pdf
FY2023-24,United Payra PP Patuakhali Imp,IPP,RANGPUR ZONE,hfo,F.Oil,150.0,142.0,0.1081,,,BPDC 2023-24.pdf
FY2023-24,Kanchan Purbachol 55 MW Power Generation,IPP,RANGPUR ZONE,hfo,F.Oil,55.0,108.0,0.2242,,,BPDC 2023-24.pdf
FY2023-24,Energypac Thakurgaon,IPP,RANGPUR ZONE,hfo,F.Oil,115.0,258.0,0.2561,,,BPDC 2023-24.pdf
FY2023-24,Desh Energy Hatia 15 MW,IPP,RANGPUR ZONE,hfo,F.Oil,5.0,19.0,0.4338,,,BPDC 2023-24.pdf
FY2023-24,APR Energy 300MW,IPP,RANGPUR ZONE,hsd,HSD,300.0,44.0,0.0167,,,BPDC 2023-24.pdf
FY2023-24,Paramount Baghabari BanglaTrack,IPP,RANGPUR ZONE,hsd,HSD,200.0,18.0,0.0103,,,BPDC 2023-24.pdf
FY2023-24,Sharishabari 3 MW Engreen Solar Power Plant,IPP,RANGPUR ZONE,solar,Solar,3.0,4.0,0.1522,,,BPDC 2023-24.pdf
FY2023-24,20 MW Solar Teknaf,IPP,RANGPUR ZONE,solar,Solar,20.0,37.0,0.2112,,,BPDC 2023-24.pdf
FY2023-24,Sympa Solar Power 8 MW,IPP,RANGPUR ZONE,solar,Solar,8.0,13.0,0.1855,,,BPDC 2023-24.pdf
FY2023-24,Sutiakhali 50 MW HDFC Solar Power Plant,IPP,RANGPUR ZONE,solar,Solar,50.0,90.0,0.2055,,,BPDC 2023-24.pdf
FY2023-24,ERBL Solar 100 MW Mongla,IPP,RANGPUR ZONE,solar,Solar,100.0,176.0,0.2009,,,BPDC 2023-24.pdf
FY2023-24,Manikganj 35MW Spectra Solar Park Ltd.,IPP,RANGPUR ZONE,solar,Solar,35.0,60.0,0.1957,,,BPDC 2023-24.pdf
FY2023-24,Intraco Solar Lalmonoirhat,IPP,RANGPUR ZONE,solar,Solar,30.0,61.0,0.2321,,,BPDC 2023-24.pdf
FY2023-24,Teesta Solar Ltd 200MW,IPP,RANGPUR ZONE,solar,Solar,200.0,352.0,0.2009,,,BPDC 2023-24.pdf
FY2023-24,Sailo Solar Power Plant Shantahar,IPP,RANGPUR ZONE,solar,Solar,0.0,,,,,BPDC 2023-24.pdf
FY2023-24,KEPZ 9 MW Solar,IPP,RANGPUR ZONE,solar,Solar,11.0,,,,,BPDC 2023-24.pdf
FY2023-24,BRB Solar,IPP,RANGPUR ZONE,solar,Solar,1.0,,,,,BPDC 2023-24.pdf
FY2023-24,"60 MW WInd, Cox's Bazar",IPP,RANGPUR ZONE,wind,Wind,60.0,69.0,0.1313,,,BPDC 2023-24.pdf
FY2023-24,Barishal Coal,IPP,RANGPUR ZONE,coal_imported,Imported Coal,307.0,1250.0,0.4648,,,BPDC 2023-24.pdf
FY2023-24,S.S. Power,IPP,RANGPUR ZONE,coal_imported,Imported Coal,1224.0,2811.0,0.2622,,,BPDC 2023-24.pdf
FY2023-24,Tangail SIPP (22 MW) (Doreen Power Ltd.),IPP,RANGPUR ZONE,gas,GAS,22.0,50.0,0.2594,,,BPDC 2023-24.pdf
FY2023-24,Feni SIPP (22 MW) (Doreen Power Ltd.),IPP,RANGPUR ZONE,gas,GAS,22.0,89.0,0.4618,,,BPDC 2023-24.pdf
FY2023-24,Jangalia 33 MW (Summit Purbanchol Po. Co. Ltd.),IPP,RANGPUR ZONE,gas,GAS,33.0,239.0,0.8268,,,BPDC 2023-24.pdf
FY2023-24,Ashugonj 55 MW 3Yrs Rental (Precision Energy),IPP,RANGPUR ZONE,gas,GAS,55.0,139.0,0.2885,,,BPDC 2023-24.pdf
FY2023-24,Sahzibazar 86 MW RPP (15 yrs),IPP,RANGPUR ZONE,gas,GAS,86.0,280.0,0.3717,,,BPDC 2023-24.pdf
FY2023-24,Kumargao 10 MW Desh Combridge (15 Yrs),IPP,RANGPUR ZONE,gas,GAS,10.0,59.0,0.6735,,,BPDC 2023-24.pdf
FY2023-24,Fenchugonj 51 MW Rental (15 Yrs) (Barakatullah),IPP,RANGPUR ZONE,gas,GAS,51.0,302.0,0.676,,,BPDC 2023-24.pdf
FY2023-24,Fenchugonj 50 MW Rental (Energy Prima),IPP,RANGPUR ZONE,gas,GAS,50.0,252.0,0.5753,,,BPDC 2023-24.pdf
FY2023-24,Barabkundu SIPP 22 MW (Regent Power),IPP,RANGPUR ZONE,gas,GAS,22.0,84.0,0.4359,,,BPDC 2023-24.pdf
FY2023-24,"Malancha, EPZ, Ctg",IPP,RANGPUR ZONE,gas,GAS,0.0,173.0,,,,BPDC 2023-24.pdf
FY2023-24,Bhola 32 MW (Venture Energy Resources Ltd.),IPP,RANGPUR ZONE,gas,GAS,40.0,122.0,0.3482,,,BPDC 2023-24.pdf
FY2023-24,Shahjahanullah Power Gen Co. Ltd.,IPP,RANGPUR ZONE,gas,GAS,25.0,109.0,0.4977,,,BPDC 2023-24.pdf
FY2023-24,KPCL( 115 MW) U-2,IPP,RANGPUR ZONE,hfo,F.oil,115.0,111.0,0.1102,,,BPDC 2023-24.pdf
FY2023-24,Khanjahan Ali Noapara 40 MW,IPP,RANGPUR ZONE,hfo,F.oil,40.0,32.0,0.0913,,,BPDC 2023-24.pdf
FY2023-24,Summit Power Co. Ltd Madangonj (100 MW),IPP,RANGPUR ZONE,hfo,F.oil,102.0,242.0,0.2708,,,BPDC 2023-24.pdf
FY2023-24,"IEL, Meghnaghat 100 MW",IPP,RANGPUR ZONE,hfo,F.oil,100.0,160.0,0.1826,,,BPDC 2023-24.pdf
FY2023-24,Shiddirganj Dutchbangla 100 MW,IPP,RANGPUR ZONE,hfo,F.oil,100.0,153.0,0.1747,,,BPDC 2023-24.pdf
FY2023-24,Amnura 50MW Sinha Power,IPP,RANGPUR ZONE,hfo,F.oil,50.0,60.0,0.137,,,BPDC 2023-24.pdf
FY2023-24,"Power Pac Mutiara,Keranigonj,100MW",IPP,RANGPUR ZONE,hfo,F.oil,100.0,68.0,0.0776,,,BPDC 2023-24.pdf
FY2023-24,Julda Acorn Infra.service Ltd.100MW,IPP,RANGPUR ZONE,hfo,F.oil,100.0,148.0,0.1689,,,BPDC 2023-24.pdf
FY2023-24,Katakhali (Northern) Peaking,IPP,RANGPUR ZONE,hfo,F.oil,50.0,71.0,0.1621,,,BPDC 2023-24.pdf
